solar,ppt
9.883588463,0.500114
5.772445836,0.430314
5.765815289,0.84726
8.404420879,0.62509
13.67259885,0.65937
18.97639157,0.47946
24.23084697,0.32771
26.1279065,0.20697
27.43610449,0.12023
23.6799855,0.04714
17.71174085,0.19289
11.8741741,0.46791
7.34933807,0.90586
4.853285229,1.02729
5.504580698,0.813171
7.170858021,0.688314
11.41079721,0.643286
16.02435629,0.640914
21.30557078,0.427086
24.29123085,0.329343
25.20653467,0.184714
22.0310158,0.1344
15.84201393,0.399171
10.59071342,0.666343
6.759733563,0.853057
5.009374558,0.970457
3.770345942,0.358625
7.337857226,0.242937
12.42120792,0.275562
17.67308234,0.373312
21.47405024,0.41425
24.90035126,0.223313
25.71854387,0.094313
22.1256983,0.07975
16.75371842,0.029733
9.972278625,0.221333
4.817265492,0.2754
3.242056127,0.386667
5.947449811,0.405886
8.744105956,0.332114
13.3296744,0.366286
18.35911996,0.522229
23.08390895,0.487029
25.87721302,0.327086
27.58904801,0.144086
25.13684328,0.119086
19.27045009,0.175886
12.69221174,0.2952
8.181073582,0.377286
5.683866541,0.4186
8.68146936,0.444
11.0142985,0.353
15.8632037,0.366
18.02726758,0.465
23.50206682,0.447
25.05388098,0.351
25.35233004,0.068
23.67035292,0.051
19.2367271,0.121
14.73332129,0.297
9.299385216,0.386
7.72227348,0.495
7.159257994,0.399971
12.27910928,0.317429
15.76940647,0.396771
20.90475747,0.5298
25.19004442,0.537514
28.3783342,0.315771
28.97948119,0.086743
27.38615382,0.0714
22.66915112,0.116486
15.0489572,0.330171
9.930452825,0.458714
7.602672835,0.459229
15.03019332,0.72
16.30667886,0.66
25.73395686,0.569
34.89094901,0.567
44.89142784,0.462
50.20626341,0.251
54.05637956,0.159
48.6841104,0.097
38.36427642,0.157
26.47905374,0.405
16.30250602,0.592
13.13615478,0.839
6.546942116,0.414371
9.248326082,0.361429
14.75825907,0.425714
18.33325663,0.492686
24.32122277,0.457457
26.2664986,0.3126
29.16086588,0.193943
25.75712847,0.139486
20.37903271,0.1752
13.39571596,0.3774
8.30182766,0.387257
6.232334054,0.468343
7.120755666,0.371286
11.27762208,0.312971
16.57696257,0.366486
21.66961895,0.518343
26.48924174,0.421571
30.53356289,0.210771
30.78117048,0.074086
27.84631339,0.034457
23.2775449,0.087657
15.07752303,0.257657
10.06704228,0.342943
6.85849116,0.416114
6.567777336,0.41
9.02576388,0.373
13.66130003,0.514
17.328593,0.578
22.2513208,0.472
24.00157532,0.181
25.82858629,0.02
23.38603819,0.016
19.07848777,0.066
13.59599723,0.377
8.62355196,0.445
6.24303052,0.411
15.41006474,0.366714
16.27574628,0.414686
16.33814735,0.508857
15.60810148,0.643486
14.23027781,0.515571
15.47839925,0.124714
14.9944576,0.020943
14.11837588,0.005286
10.41277222,0.0782
14.73501981,0.475686
14.69851918,0.465057
12.34901215,0.435057
16.65483919,1.2158
19.46387496,1.44654
27.58004258,1.30169
32.07091901,1.20751
42.05811173,0.77137
48.92843344,0.20446
48.82618248,0.06754
43.10347816,0.04066
36.43551845,0.10806
27.77259507,0.69051
18.1097708,1.13577
14.83097917,1.39849
7.88411656,1.211
9.62898872,0.91811
16.04560862,0.81257
18.31601722,0.48843
24.57656252,0.26414
